Augie the Dog collection metadata,,,,,,,,,,,,,,,,,,
Element,,,,,,,,,,,,,,,Required (R) or Optional (0),Repeatable?,Format,Content Specification
,,,,,,,,,,,,,,,,,,
Title,Augie On Outside Chair,Augie Next to Dad,Augie Laying on Front Porch,Augie Curled in Corner of Her Bed,Augie With Grandpa,Augie Laying in Sweater,Augie Sitting on Chair with Bone,Augie on Corey's Bed,Augie Covered in Blankets,Augie Outside Holding Ball,Augie wearing Antlers and Red Sweater,Augie on Gray Blanket,Augie Asleep in Car,Augie Laying in Front Room,Augie Hiding Fsce,,,
Photographer/Creator,"Duffy, Cait","Duffy, Cait","Duffy, Cait","Duffy, Cait","Duffy, Cait","Duffy, Cait","Duffy, Cait","Duffy, Cait","Duffy, Cait","Duffy, Cait","Duffy, Cait","Duffy, Cait","Duffy, Cait","Duffy, Cait","Duffy, Cait",,,
Date (DD/MM/YYYY),06/21/2024,06/07/2023,04/12/2025,02/16/2025,12/24/2023,10/14/2023,07/18/2023,05/11/2023,04/21/2023,09/26/2022,12/24/2021,11/1/2021,09/21/2021,07/25/2021,11/22/2020,,,
Coverage (Location),"Oak Forest, Illinois","Oak Forest, Illinois","Oak Forest, Illinois","Oak Forest, IL","Oak Forest, IL","Oak Forest, IL","Oak Forest, IL","Oak Forest, IL","Oak Forest, IL","Oak Forest, IL","Oak Forest, IL","Oak Forest, IL","Rock Island, Illinois","Oak Forest, IL","Oak Forest, IL",,,
Description,Augie sunbathing outside the house in her own chair. Her eyes are closed as she enjoys the sunny day and warm weather.,"Augie sitting on a chair next to my dad, who is scrolling on his Ipad. Augie is contently sitting and watching what is in front of her.","Augie laying down on front porch of our home. She is leashed, and enjoyed watching neighbors and cars walking by.",Augie curled up in her gray bed. She is looking up at the camera.,Augie laying next to grandpa on Christmas Eve. She is wearing a gray sweater and is cuddled up next to him on the recliner,"Augie laying down in one of Cait's sweaters. Her paws are outstretched in the sleeves, making her paws hidden",Augie sitting on the gray recliner with one of her bones in her mouth. She looks very happy.,Augie laying on Corey's bed. Her paws are spread out as she rests. Her tongue is visable.,Augie is covered in a black blanket in Cait's room. Only her face is visibile under the pile.,Augie is outside laying down. An orange ball is present under her left paw. She is smiling,"Augie wearing antlers and a red sweater laying on the floor. Her eyes seemed to be closed, sleeping",Augie resting on gray blanket. Her paws and face are propped up by a wood footrest.,Augie asleep on car median. Her paws are tucked under her.,Augie laying in front room. She is by a desk but facing the windows nearby.,Augie asleep with her paws around fer face. She is on a gray blanket,,,
Format,Image/jpeg,Image.jpg,Image.jpg,Image/jpeg,Image/jpeg,Image.jpg,Image.jpg,Image.jpg,Image.jpg,Image.jpg,Image.jpg,Image.jpg,Image.jpg,Image.jpg,Image.jpg,,,
Identifier,001.jpg,002.jpg,003.jpg,004.jpg,005.jpg,006.jpg,007.jpg,008.jpeg,009.jpg,010.jpg,011.jpg,012.jpg,013.jpg,014.jpg,015.jpg,,,
Contributer,"Duffy, Corey","Duffy, Kimberly","Duffy, Kimberly","Duffy, Corey","Duffy, Cait","Duffy, Cait","Duffy, Cait","Duffy, Corey","Duffy, Patrick","Duffy, KImberly","Duffy, Kimberly","Duffy, Patrick","Duffy, Kimberly","Duffy, Kimberly","Duffy, Patrick",,,
Rights,"This material may be used for educational purposes only. For all other uses, please contact Cait Duffy","This material may be used for educational purposes only. For all other uses, please contact Cait Duffy","This material may be used for educational purposes only. For all other uses, please contact Cait Duffy","This material may be used for educational purposes only. For all other uses, please contact Cait Duffy","This material may be used for educational purposes only. For all other uses, please contact Cait Duffy","This material may be used for educational purposes only. For all other uses, please contact Cait Duffy","This material may be used for educational purposes only. For all other uses, please contact Cait Duffy","This material may be used for educational purposes only. For all other uses, please contact Cait Duffy","This material may be used for educational purposes only. For all other uses, please contact Cait Duffy","This material may be used for educational purposes only. For all other uses, please contact Cait Duffy","This material may be used for educational purposes only. For all other uses, please contact Cait Duffy","This material may be used for educational purposes only. For all other uses, please contact Cait Duffy","This material may be used for educational purposes only. For all other uses, please contact Cait Duffy","This material may be used for educational purposes only. For all other uses, please contact Cait Duffy","This material may be used for educational purposes only. For all other uses, please contact Cait Duffy",,,
File name,IMG_5062.jpg,IMG_0872.jpg,IMG_6602.jpeg,Resized_20250216_132553_173974,Resized_20231224_153648_170345,IMG_7905.HEIC,IMG_7601.HEIC,Resized_20230511_2221844.jpg,IMG_7050.HEIC,Resized_20220926_172424.jpg,Resized_20211224_154120. jpg,IMG_9536.jpg,Resized_20210829_154702.jpg,Resized_20210725_151352.jpg,IMG_2597.jpg,,,
File type,Image/jpg,Image.jpg,Image.jpeg,Image.jpeg,Image.jpg,Image.jpg,Image.jpg,Image.jpg,Image.jpg,Image.jpg,Image.jpg,Image.jpg,Image.jpg,Image.jpg,Image.jpg,,,
,,,,,,,,,,,,,,,,,,
Image Links: ,,,,,,,,,,,,,,,,,,